Model,MAE,MSE,Percentage Error
Linear Regression,6.7425494197643845,102.72625446812039,22.94734459312583
Ridge Regression,6.844983143018801,105.9621052507877,23.29596375764923
Lasso Regression,10.226542888755514,180.971381259153,34.80463976678628
Decision Tree Regression,6.0840999999999985,91.07159300000001,20.70640206652213
Random Forest Regression,5.767280000000002,80.71177154000002,19.628148536383662
Gradient Boosting Regression,6.076266142854975,84.61398394774102,20.67974060537314
Support Vector Regression,9.38116834511043,174.21625299536365,31.927523151754023
